,city,region,country,lng,lat,population,continent
6437,Saint-Flour,Auvergne-Rhône-Alpes,FR,3.0928,45.0336,6365,EU
6438,Saint-Gaudens,Occitanie,FR,0.7233,43.1081,11604,EU
6439,Saint-Germain-en-Laye,Île-de-France,FR,2.0938,48.8989,40806,EU
6440,Saint-Girons,Occitanie,FR,1.1458,42.9847,6408,EU
6441,Saint-Jean-de-Maurienne,Auvergne-Rhône-Alpes,FR,6.345,45.2767,7683,EU
6442,Saint-Jean-d’Angély,Nouvelle-Aquitaine,FR,-0.5211,45.9442,6886,EU
6443,Saint-Julien-en-Genevois,Auvergne-Rhône-Alpes,FR,6.0842,46.1442,15509,EU
6444,Saint-Louis,Saint-Louis,SN,-16.5,16.0333,176000,EU
6445,Saint-Lô,Normandie,FR,-1.0917,49.1144,19024,EU
6446,Saint-Malo,Bretagne,FR,-2.0075,48.6481,46478,EU
6447,Saint-Nazaire,Pays de la Loire,FR,-2.2086,47.2806,70619,EU
6448,Saint-Omer,Hauts-de-France,FR,2.2608,50.7483,14726,EU
6449,Saint-Quentin,Hauts-de-France,FR,3.2864,49.8486,53856,EU
6450,Saint-Étienne,Auvergne-Rhône-Alpes,FR,4.3903,45.4347,173089,EU
6451,Saintes,Nouvelle-Aquitaine,FR,-0.6333,45.7464,25148,AF
6452,Saitama,Saitama,JP,139.6453,35.8617,1320571,EU
6453,Sakarya,Sakarya,TR,30.4,40.7833,224962,EU
6454,Sakon Nakhon,Sakon Nakhon,TH,104.1456,17.1564,53618,EU
6455,Saky,"Krym, Avtonomna Respublika",UA,33.5772,45.1336,24282,EU
6456,Sakākā,Al Jawf,SA,40.1333,30.0,128332,EU
6457,Sal Rei,Boa Vista,CV,-22.9171,16.176,6357,EU
6458,Salamanca,Castille-Leon,ES,-5.6639,40.9667,143269,EU
6459,Salamanca,Guanajuato,MX,-101.1972,20.5703,327169,AS
6460,Salamá,Baja Verapaz,GT,-90.316,15.1052,71478,AS
6461,Salamína,Attikí,GR,23.4993,37.9649,25370,AS
6462,Salanso,Boucle du Mouhoun,BF,-4.0833,12.1833,10385,EU
6463,Salaspils,Salaspils Novads,LV,24.35,56.8614,17905,AS
6464,Salavan,Salavan,LA,106.4167,15.7167,5521,AF
6465,Salaya,Nakhon Pathom,TH,100.3208,13.8023,11180,EU
6466,Salcajá,Quetzaltenango,GT,-91.45,14.8833,17535,NA
6467,Salcedo,Cibao Nordeste,DO,-70.39,19.42,39557,NA
6468,Saldus,Saldus Novads,LV,22.4936,56.6667,9679,EU
6469,Salekhard,Yamalo-Nenetskiy Avtonomnyy Okrug,RU,66.6333,66.5333,48507,AF
6470,Salem,Oregon,US,-123.0246,44.9231,266804,EU
6471,Salento,Quindío,CO,-75.5708,4.6372,7103,AS
6472,Salerno,Campania,IT,14.7597,40.6806,133970,AS
6473,Salgar,Antioquia,CO,-75.9775,5.9639,17804,NA
